Price,District,City,Town,Type,EnergyCertificate,Floor,Lift,Parking,HasParking,ConstructionYear,TotalArea,GrossArea,PublishDate,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,ConservationStatus,LivingArea,LotSize,BuiltArea,NumberOfBathrooms
245000,Santarém,Cartaxo,Pontével,House,F,,,0,,1992,348,,,TRUE,FALSE,FALSE,,2,0,,313,2600,,1
3900000,Lisboa,Cascais,Cascais e Estoril,House,NC,,,0,,2024,900,,,TRUE,TRUE,TRUE,,6,0,,800,1150,,9
260000,Guarda,Seia,Santiago,House,NC,,FALSE,2,TRUE,2022,190,,,,,,4,,,,216,,,3
22000,Aveiro,Aveiro,Glória e Vera Cruz,Store,C,,,1,,1995,60,,00:50.0,FALSE,FALSE,FALSE,1,,1,,85,85,85.6,1
70000,Santarém,Torres Novas,Meia Via,Store,C,,,0,,,113,,03:26.0,FALSE,FALSE,FALSE,,,,,85,,,1
18000,Guarda,Guarda,Gonçalo,Land,NC,,FALSE,0,FALSE,,15500,,,,,,,,,,,,,0
320000,Braga,Vila Nova de Famalicão,Joane,House,NC,,FALSE,1,TRUE,,120,,,,,,3,,,,238,,,0
75000,Porto,Paços de Ferreira,Paços de Ferreira,Store,NC,Ground Floor,TRUE,1,TRUE,2023,48,,,,,,,,,,48,,,0
85000,Portalegre,Ponte de Sor,"Ponte de Sor, Tramaga e Vale de Açor",Industrial,NC,,,1,,,460,,,FALSE,FALSE,FALSE,,,0,,450,1386,460,0
455000,Setúbal,Seixal,Amora,House,E,,FALSE,1,TRUE,1984,308,198,,,,,3,,,,198,,,5
285000,Lisboa,Loures,"Camarate, Unhos e Apelação",Apartment,NC,1st Floor,TRUE,0,FALSE,2005,288,,,,,,3,,,,119,,,2
6500,Coimbra,Arganil,Folques,Land,NC,,FALSE,0,FALSE,1975,16890,,,,,,0,,,,6490,,,0
190000,Setúbal,Setúbal,"Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",Land,NC,,FALSE,0,FALSE,,2000,,,,,,,,,,,,,0
148000,Évora,Évora,Malagueira e Horta das Figueiras,Land,NC,Ground Floor,FALSE,0,FALSE,,450,243,,,,,2,,,,375,,,2
190000,Porto,Matosinhos,Matosinhos e Leça da Palmeira,House,F,,,0,,1937,77,,,FALSE,FALSE,FALSE,5,2,0,Needs renovation,75,164,86.53,2
137500,Castelo Branco,Covilhã,Covilhã e Canhoso,Apartment,C,,,1,,1996,120,,,FALSE,TRUE,FALSE,9,3,0,Good condition,120,,,2
169000,Porto,Valongo,Valongo,Building,E,,,0,,1937,270,,,FALSE,FALSE,FALSE,,,0,,257,160,,0
172500,Coimbra,Coimbra,São Martinho do Bispo e Ribeira de Frades,Apartment,D,Ground Floor,FALSE,1,TRUE,1994,99,,,,,,2,,,,90,,,2
60000,Vila Real,Vila Pouca de Aguiar,Vila Pouca de Aguiar,Store,NC,,,0,,1997,44,,08:12.3,FALSE,FALSE,FALSE,,,,Good condition,,,,
325000,Lisboa,Vila Franca de Xira,Vila Franca de Xira,Apartment,C,4th Floor,TRUE,2,TRUE,2013,162,,,,,,3,,,,136,,,3
125000,Leiria,Alcobaça,Alcobaça e Vestiaria,Apartment,D,2nd Floor,TRUE,1,TRUE,1993,92,92,,,,,2,,,,75,,,1
145000,Lisboa,Sintra,Queluz e Belas,Store,C,,,0,,,98,,32:29.2,FALSE,FALSE,FALSE,,,0,,98,,,1
245000,Porto,Penafiel,Oldrões,House,E,,,0,,1986,80,,,TRUE,FALSE,FALSE,,3,1,,80,1770,140,3
142000,Braga,Terras de Bouro,Moimenta (Santo André),Other - Commercial,NC,,,0,,2012,142,,06:07.5,FALSE,FALSE,FALSE,1,,1,New,142,1849,1849,2
695000,Viana do Castelo,Viana do Castelo,Carreço,Building,B-,,FALSE,0,FALSE,1985,702,,,,,,,,,,692,,,
275000,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,B-,,,0,,2023,38,,,FALSE,TRUE,FALSE,1,0,0,New,38,,41,1
199999,Braga,Póvoa de Lanhoso,"Verim, Friande e Ajude",House,D,,,0,,1975,65,,,TRUE,FALSE,FALSE,,3,0,,65,428,130,2
160000,Braga,Vila Nova de Famalicão,Landim,House,E,,FALSE,0,FALSE,2007,556,137,,,,,4,,,,126,,,2
205000,Setúbal,Moita,Alhos Vedros,Apartment,E,,,1,,2010,125,,,FALSE,FALSE,TRUE,4,3,0,Good condition,89,,,2
485000,Leiria,Nazaré,Nazaré,Building,F,,,0,,1957,126,,10:49.7,FALSE,FALSE,FALSE,,,,,126,,,
89500,Coimbra,Penacova,Penacova,Store,B,,TRUE,1,TRUE,,108,108,,,,,0,,,,,,,2
20000,Guarda,Pinhel,Alverca da Beira/Bouça Cova,House,F,,FALSE,0,FALSE,1949,93,,,,,,3,,,,80,,,0
750000,Évora,Évora,"Évora (São Mamede, Sé, São Pedro e Santo Antão)",House,B-,,,0,,2024,185,,,TRUE,FALSE,FALSE,,3,1,,185,,,3
300000,Setúbal,Almada,"Almada, Cova da Piedade, Pragal e Cacilhas",Apartment,C,1st Floor,FALSE,0,FALSE,2023,65,,,,,,2,,,,65,,,2
45000,Castelo Branco,Penamacor,Penamacor,Land,NC,,,0,,,,,48:27.2,FALSE,FALSE,FALSE,,,,,,57000,,
550000,Lisboa,Sintra,Massamá e Monte Abraão,Apartment,E,Ground Floor,TRUE,0,FALSE,1990,169,243,,,,,3,,,,168,,,3
1200000,Leiria,Óbidos,Vau,House,A+,,FALSE,3,TRUE,,780,,,,,,4,,,,232,,,5
399900,Lisboa,Lisboa,São Vicente,Apartment,E,,,0,,1950,38,,,FALSE,FALSE,FALSE,,2,0,,85,,,2
130000,Porto,Marco de Canaveses,Vila Boa de Quires e Maureles,House,NC,,,0,,1951,204,,,FALSE,FALSE,FALSE,6,4,2,Needs renovation,204,102,204,2
672420,Lisboa,Sintra,Colares,Apartment,NC,,,1,,,71,,59:34.3,FALSE,TRUE,FALSE,,1,,New,71,,,1
210000,Lisboa,Vila Franca de Xira,Póvoa de Santa Iria e Forte da Casa,Apartment,D,3rd Floor,FALSE,0,FALSE,1989,110,122,,,,,4,,,,99,,,2
68000,Santarém,Alcanena,Moitas Venda,Land,NC,,FALSE,0,FALSE,,2509,2509,,,,,0,,,,2509,,,0
299000,Lisboa,Odivelas,Pontinha e Famões,Apartment,C,,,0,,1983,85,,,FALSE,TRUE,FALSE,3,2,0,Good condition,85,,,1
360000,Setúbal,Montijo,Montijo e Afonsoeiro,Land,NC,,,0,,,,,36:52.3,FALSE,FALSE,FALSE,,,0,,,234,,0
370000,Lisboa,Odivelas,Pontinha e Famões,Apartment,A,1st Floor,TRUE,2,TRUE,2023,92,126,,,,,2,,,,92,,,2
180000,Setúbal,Sesimbra,Santiago (Sesimbra),Apartment,B-,6th Floor,TRUE,1,TRUE,2020,46,,,,,,0,,,,42,,,1
140000,Bragança,Macedo de Cavaleiros,Castelãos e Vilar do Monte,House,E,,,0,,1984,100,,28:37.4,TRUE,FALSE,FALSE,,3,1,,90,,,3
67500,Braga,Guimarães,Sande Vila Nova e Sande São Clemente,Land,NC,,FALSE,0,FALSE,,16200,,,,,,,,,,,,,0
120000,Porto,Vila Nova de Gaia,"Sandim, Olival, Lever e Crestuma",Land,NC,,FALSE,0,FALSE,1982,10450,,,,,,0,,,,10450,,,0
305000,Braga,Guimarães,Azurém,Apartment,NC,,,0,,2022,148,,49:20.3,TRUE,TRUE,TRUE,4,3,1,,148,,170,2
750000,Aveiro,Aveiro,Glória e Vera Cruz,Apartment,NC,2nd Floor,TRUE,2,TRUE,2022,190,190,,,,,3,,,,155,,,3
340000,Braga,Braga,Adaúfe,House,A,,FALSE,2,TRUE,2017,197,,,,,,4,,,,160,,,3
1999000,Lisboa,Loures,Lousa,Warehouse,NC,,FALSE,0,FALSE,,3712,,,,,,,,,,1471,,,0
66000,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Transfer of lease,NC,Ground Floor,FALSE,0,FALSE,1968,77,,,,,,,,,,77,,,2
2250000,Faro,Portimão,Mexilhoeira Grande,Farm,B-,,,1,,2009,415,,,FALSE,FALSE,FALSE,5,4,0,Like new,,90840,,6
130000,Évora,Borba,Rio de Moinhos,House,D,,,0,,1998,124,,,FALSE,FALSE,FALSE,,3,0,,124,,,0
175000,Porto,Paços de Ferreira,Ferreira,Apartment,NC,1st Floor,FALSE,1,TRUE,2021,93,,,,,,2,,,,93,,,1
580000,Lisboa,Cascais,São Domingos de Rana,Apartment,D,Ground Floor,FALSE,2,TRUE,2003,108,236,,,,,3,,,,108,,,3
498000,Setúbal,Alcochete,São Francisco,House,D,,FALSE,3,TRUE,2006,20242,411,,,,,3,,,,278,,,5
49000,Castelo Branco,Covilhã,Paul,Land,NC,,,0,,,,,24:18.5,FALSE,FALSE,FALSE,,,0,,,1120,,0
159900,Lisboa,Oeiras,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Transfer of lease,C,,,0,,,166,,35:39.4,FALSE,FALSE,FALSE,,,0,Like new,165,167,166,3
35000,Viana do Castelo,Melgaço,Castro Laboreiro e Lamas de Mouro,House,NC,,,0,,1986,65,,,FALSE,FALSE,FALSE,2,4,0,Needs renovation,65,85,150,0
45000,Faro,Silves,São Bartolomeu de Messines,Land,NC,,,0,,,27760,,,FALSE,FALSE,FALSE,,0,0,,,27760,,0
25000,Viana do Castelo,Arcos de Valdevez,Aguiã,Land,NC,,FALSE,0,FALSE,1937,327,25,,,,,,,,,25,,,0
1100000,Lisboa,Lisboa,Santo António,Building,C,,FALSE,0,FALSE,1950,56,264,,,,,,,,,264,,,0
207000,Porto,Lousada,"Silvares, Pias, Nogueira e Alvarenga",Store,NC,Ground Floor,FALSE,0,FALSE,,148,,,,,,,,,,148,,,0
150000,Aveiro,Aveiro,Cacia,Apartment,D,,,1,,1998,73,,52:47.0,FALSE,FALSE,FALSE,,1,0,,57,,,1
550000,Leiria,Leiria,"Leiria, Pousos, Barreira e Cortes",Apartment,A,4th Floor,TRUE,3,TRUE,,168,306,,,,,3,,,,168,,,3
850000,Lisboa,Cascais,Cascais e Estoril,Other - Commercial,C,Ground Floor,FALSE,0,FALSE,1978,282,,,,,,,,,,280,,,0
409900,Lisboa,Loures,Moscavide e Portela,Apartment,B-,3rd Floor,TRUE,1,TRUE,2009,60,90,,,,,1,,,,54,,,1
4350,Santarém,Torres Novas,Pedrógão,Land,NC,,FALSE,0,FALSE,,2840,2840,,,,,,,,,2840,,,0
244000,Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Apartment,C,,,1,,1996,117,,59:50.0,FALSE,TRUE,FALSE,4,3,1,Good condition,117,132,,2
135000,Lisboa,Torres Vedras,"Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães",Land,NC,,FALSE,0,FALSE,2002,225,225,,,,,,,,,225,,,0
38000,Santarém,Cartaxo,Cartaxo e Vale da Pinta,Investment,NC,,FALSE,0,FALSE,,48,,,,,,,,,,,,,0
300000,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",House,C,,FALSE,1,TRUE,2022,76,88,,,,,1,,,,76,,,1
1500,Vila Real,Alijó,Pegarinhos,Land,NC,,,1,,,1200,,,FALSE,FALSE,FALSE,,,0,,1200,1200,1200,0
339900,Porto,Porto,Ramalde,Apartment,E,5th Floor,TRUE,1,TRUE,1983,126,,,,,,3,,,,112,,,3
65000,Setúbal,Setúbal,Azeitão (São Lourenço e São Simão),Land,NC,,FALSE,0,FALSE,,636,,,,,,,,,,,,,0
120000,Lisboa,Sintra,São João das Lampas e Terrugem,House,NC,,FALSE,0,FALSE,1951,546,,,,,,3,,,,83,,,2
1275000,Santarém,Benavente,Santo Estevão,House,D,,FALSE,3,TRUE,2003,20000,695,,,,,9,,,,385,,,1
19000,Porto,Felgueiras,Penacova,Land,NC,,,0,,,1140,,,FALSE,FALSE,FALSE,,,0,,,1140,,0
340000,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",Apartment,NC,,,0,,2023,164,,,TRUE,TRUE,FALSE,,3,1,New,131,,,3
27000,Lisboa,Cascais,Cascais e Estoril,Apartment,NC,,,1,,1989,14,,,FALSE,TRUE,FALSE,1,0,0,Good condition,14,,,0
96800,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,C,,,0,,2003,31,,,FALSE,TRUE,FALSE,1,0,0,Good condition,31,,,1
25000,Leiria,Pombal,Pombal,Store,B,,,0,,1995,15,,,FALSE,TRUE,FALSE,,,0,,,,,0
50000,Porto,Penafiel,São Martinho Recezinhos,Land,NC,,,0,,,156,,,FALSE,TRUE,FALSE,,,0,,156,762,156,0
400000,Faro,Loulé,Almancil,Land,NC,,FALSE,0,FALSE,,840,,,,,,,,,,,,,0
1350000,Porto,Valongo,Alfena,Land,NC,,,0,,,64000,,,FALSE,FALSE,FALSE,,,0,Needs renovation,64000,64000,64000,0
750000,Lisboa,Lisboa,Santo António,Apartment,D,4th Floor,TRUE,1,TRUE,1999,395,77,,,,,1,,,,61,,,1
35000,Coimbra,Cantanhede,Febres,Land,NC,,FALSE,0,FALSE,,840,,,,,,,,,,,,,0
149000,Porto,Marco de Canaveses,"Várzea, Aliviada e Folhada",Land,NC,,,0,,1999,38000,,,FALSE,FALSE,FALSE,0,0,0,,38000,38000,,0
240000,Lisboa,Sintra,"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",Land,NC,,FALSE,0,FALSE,,561,,,,,,,,,,,,,0
45000,Castelo Branco,Fundão,Silvares,Land,NC,,FALSE,0,FALSE,,1190,150,,,,,,,,,150,,,0
88000,Faro,Silves,Algoz e Tunes,Land,NC,,FALSE,0,FALSE,1990,401,,,,,,0,,,,401,,,0
130000,Aveiro,Anadia,"Tamengos, Aguim e Óis do Bairro",Land,NC,,,0,,,,,,FALSE,FALSE,FALSE,,,0,,,7450,,0
140000,Leiria,Alvaiázere,Pelmá,House,D,,FALSE,2,TRUE,1986,120,231,,,,,3,,,,115,,,2
